Area,BHK,Age,City,State,Price (INR)
2800,3,8,Bhubaneswar,Odisha,"66,00,000"
3200,4,10,Bhubaneswar,Odisha,"72,50,000"
3500,4,12,Bhubaneswar,Odisha,"79,50,000"
3300,3,15,Cuttack,Odisha,"75,50,000"
3100,3,18,Cuttack,Odisha,"72,70,000"
3200,4,20,Cuttack,Odisha,"71,80,000"
3000,3,12,Rourkela,Odisha,"69,80,000"
3400,4,14,Rourkela,Odisha,"76,20,000"
3600,5,16,Rourkela,Odisha,"80,50,000"
3100,3,10,Sambalpur,Odisha,"71,20,000"
3300,4,8,Puri,Odisha,"76,80,000"
3500,4,12,Berhampur,Odisha,"77,00,000"
